file_name,donor_id,timepoint,pool_id
Norm_XHLT2-HS1-T1PBMC1-CYM1_Singlets_normalized.fcs,HS1,T1,1
Norm_XHLT2-HS10-T1PBMC1-CYM1_Singlets_normalized.fcs,HS10,T1,1
Norm_XHLT2-HS11-T1PBMC1-CYM1_Singlets_normalized.fcs,HS11,T1,1
Norm_XHLT2-HS12-T1PBMC1-CYM1_Singlets_normalized.fcs,HS12,T1,1
Norm_XHLT2-HS13-T1PBMC1-CYM1_Singlets_normalized.fcs,HS13,T1,1
Norm_XHLT2-HS14-T1PBMC1-CYM1_Singlets_normalized.fcs,HS14,T1,1
Norm_XHLT2-HS15-T1PBMC1-CYM1_Singlets_normalized.fcs,HS15,T1,1
Norm_XHLT2-HS16-T1PBMC1-CYM1_Singlets_normalized.fcs,HS16,T1,1
Norm_XHLT2-HS17-T1PBMC1-CYM1_Singlets_normalized.fcs,HS17,T1,1
Norm_XHLT2-HS18-T1PBMC1-CYM1_Singlets_normalized.fcs,HS18,T1,1
Norm_XHLT2-HS2-T1PBMC1-CYM1_Singlets_normalized.fcs,HS2,T1,1
Norm_XHLT2-HS3-T1PBMC1-CYM1_Singlets_normalized.fcs,HS3,T1,1
Norm_XHLT2-HS4-T1PBMC1-CYM1_Singlets_normalized.fcs,HS4,T1,1
Norm_XHLT2-HS5-T1PBMC1-CYM1_Singlets_normalized.fcs,HS5,T1,1
Norm_XHLT2-HS6-T1PBMC1-CYM1_Singlets_normalized.fcs,HS6,T1,1
Norm_XHLT2-HS7-T1PBMC1-CYM1_Singlets_normalized.fcs,HS7,T1,1
Norm_XHLT2-HS8-T1PBMC1-CYM1_Singlets_normalized.fcs,HS8,T1,1
Norm_XHLT2-HS9-T1PBMC1-CYM1_Singlets_normalized.fcs,HS9,T1,1
Norm_XHLT2-HS19-T1PBMC1-CYM1_Singlets_normalized.fcs,HS19,T1,2
Norm_XHLT2-HS20-T1PBMC1-CYM1_Singlets_normalized.fcs,HS20,T1,2
Norm_XHLT2-HS21-T1PBMC1-CYM1_Singlets_normalized.fcs,HS21,T1,2
Norm_XHLT2-HS22-T1PBMC1-CYM1_Singlets_normalized.fcs,HS22,T1,2
Norm_XHLT2-HS23-T1PBMC1-CYM1_Singlets_normalized.fcs,HS23,T1,2
Norm_XHLT2-HS24-T1PBMC1-CYM1_Singlets_normalized.fcs,HS24,T1,2
Norm_XHLT2-HS25-T1PBMC1-CYM1_Singlets_normalized.fcs,HS25,T1,2
Norm_XHLT2-HS26-T1PBMC1-CYM1_Singlets_normalized.fcs,HS26,T1,2
Norm_XHLT2-HS27-T1PBMC1-CYM1_Singlets_normalized.fcs,HS27,T1,2
Norm_XHLT2-HS28-T1PBMC1-CYM1_Singlets_normalized.fcs,HS28,T1,2
Norm_XHLT2-HS29-T1PBMC1-CYM1_Singlets_normalized.fcs,HS29,T1,2
Norm_XHLT2-HS30-T1PBMC1-CYM1_Singlets_normalized.fcs,HS30,T1,2
Norm_XHLT2-HS31-T1PBMC1-CYM1_Singlets_normalized.fcs,HS31,T1,2
Norm_XHLT2-HS32-T1PBMC1-CYM1_Singlets_normalized.fcs,HS32,T1,2
Norm_XHLT2-HS33-T1PBMC1-CYM1_Singlets_normalized.fcs,HS33,T1,2
Norm_XHLT2-HS34-T1PBMC1-CYM1_Singlets_normalized.fcs,HS34,T1,2
Norm_XHLT2-HS35-T1PBMC1-CYM1_Singlets_normalized.fcs,HS35,T1,2
Norm_XHLT2-HS36-T1PBMC1-CYM1_Singlets_normalized.fcs,HS36,T1,2
Norm_XHLT2-HS37-T1PBMC1-CYM1_Singlets_normalized.fcs,HS37,T1,2
Norm_XHLT2-HS38-T1PBMC1-CYM1_Singlets_normalized.fcs,HS38,T1,3
Norm_XHLT2-HS39-T1PBMC1-CYM1_Singlets_normalized.fcs,HS39,T1,3
Norm_XHLT2-HS40-T1PBMC1-CYM1_Singlets_normalized.fcs,HS40,T1,3
Norm_XHLT2-HS41-T1PBMC1-CYM1_Singlets_normalized.fcs,HS41,T1,3
Norm_XHLT2-HS42-T1PBMC1-CYM1_Singlets_normalized.fcs,HS42,T1,3
Norm_XHLT2-HS43-T1PBMC1-CYM1_Singlets_normalized.fcs,HS43,T1,3
Norm_XHLT2-HS44-T1PBMC1-CYM1_Singlets_normalized.fcs,HS44,T1,3
Norm_XHLT2-HS45-T1PBMC1-CYM1_Singlets_normalized.fcs,HS45,T1,3
Norm_XHLT2-HS46-T1PBMC1-CYM1_Singlets_normalized.fcs,HS46,T1,3
Norm_XHLT2-HS47-T1PBMC1-CYM1_Singlets_normalized.fcs,HS47,T1,3
Norm_XHLT2-HS48-T1PBMC1-CYM1_Singlets_normalized.fcs,HS48,T1,3
Norm_XHLT2-HS49-T1PBMC1-CYM1_Singlets_normalized.fcs,HS49,T1,3
Norm_XHLT2-HS50-T1PBMC1-CYM1_Singlets_normalized.fcs,HS50,T1,3
Norm_XHLT2-HS51-T1PBMC1-CYM1_Singlets_normalized.fcs,HS51,T1,3
Norm_XHLT2-HS52-T1PBMC1-CYM1_Singlets_normalized.fcs,HS52,T1,3
Norm_XHLT2-HS53-T1PBMC1-CYM1_Singlets_normalized.fcs,HS53,T1,3
Norm_XHLT2-HS54-T1PBMC1-CYM1_Singlets_normalized.fcs,HS54,T1,3
Norm_XHLT2-HS55-T1PBMC1-CYM1_Singlets_normalized.fcs,HS55,T1,3
Norm_XHLT2-HS56-T1PBMC1-CYM1_Singlets_normalized.fcs,HS56,T1,4
Norm_XHLT2-HS57-T1PBMC1-CYM1_Singlets_normalized.fcs,HS57,T1,4
Norm_XHLT2-HS58-T1PBMC1-CYM1_Singlets_normalized.fcs,HS58,T1,4
Norm_XHLT2-HS59-T1PBMC1-CYM1_Singlets_normalized.fcs,HS59,T1,4
Norm_XHLT2-HS60-T1PBMC1-CYM1_Singlets_normalized.fcs,HS60,T1,4
Norm_XHLT2-HS61-T1PBMC1-CYM1_Singlets_normalized.fcs,HS61,T1,4
Norm_XHLT2-HS62-T1PBMC1-CYM1_Singlets_normalized.fcs,HS62,T1,4
Norm_XHLT2-HS63-T1PBMC1-CYM1_Singlets_normalized.fcs,HS63,T1,4
Norm_XHLT2-HS64-T1PBMC1-CYM1_Singlets_normalized.fcs,HS64,T1,4
Norm_XHLT2-HS65-T1PBMC1-CYM1_Singlets_normalized.fcs,HS65,T1,4
Norm_XHLT2-HS66-T1PBMC1-CYM1_Singlets_normalized.fcs,HS66,T1,4
Norm_XHLT2-HS67-T1PBMC1-CYM1_Singlets_normalized.fcs,HS67,T1,4
Norm_XHLT2-HS68-T1PBMC1-CYM1_Singlets_normalized.fcs,HS68,T1,4
Norm_XHLT2-HS69-T1PBMC1-CYM1_Singlets_normalized.fcs,HS69,T1,4
Norm_XHLT2-HS70-T1PBMC1-CYM1_Singlets_normalized.fcs,HS70,T1,4
Norm_XHLT2-HS71-T1PBMC1-CYM1_Singlets_normalized.fcs,HS71,T1,4
Norm_XHLT2-HS72-T1PBMC1-CYM1_Singlets_normalized.fcs,HS72,T1,4
Norm_XHLT2-HS73-T1PBMC1-CYM1_Singlets_normalized.fcs,HS73,T1,4
Norm_XHLT2-HS74-T1PBMC1-CYM1_Singlets_normalized.fcs,HS74,T1,4
Norm_XHLT2-HS75-T1PBMC1-CYM1_Singlets_normalized.fcs,HS75,T1,5
Norm_XHLT2-HS76-T1PBMC1-CYM1_Singlets_normalized.fcs,HS76,T1,5
Norm_XHLT2-HS77-T1PBMC1-CYM1_Singlets_normalized.fcs,HS77,T1,5
